ensembl_gene_id	mgi_symbol	gene_biotype
ENSMUSG00000049866	Arl4c	protein_coding
ENSMUSG00000036206	Sh3bp4	protein_coding
ENSMUSG00000055013	Agap1	protein_coding
ENSMUSG00000034486	Gbx2	protein_coding
ENSMUSG00000067081	Asb18	protein_coding
ENSMUSG00000026301	Iqca	protein_coding
ENSMUSG00000044337	Ackr3	protein_coding
ENSMUSG00000034432	Cops8	protein_coding
ENSMUSG00000048126	Col6a3	protein_coding
ENSMUSG00000026303	Mlph	protein_coding
ENSMUSG00000090550	Prlh	protein_coding
ENSMUSG00000026304	Rab17	protein_coding
ENSMUSG00000026305	Lrrfip1	protein_coding
ENSMUSG00000070732	Rbm44	protein_coding
ENSMUSG00000034353	Ramp1	protein_coding
ENSMUSG00000034343	Ube2f	protein_coding
ENSMUSG00000026307	Scly	protein_coding
ENSMUSG00000049515	Espnl	protein_coding
ENSMUSG00000026308	Klhl30	protein_coding
ENSMUSG00000026309	Ilkap	protein_coding
ENSMUSG00000067071	Hes6	protein_coding
ENSMUSG00000055866	Per2	protein_coding
ENSMUSG00000034292	Traf3ip1	protein_coding
ENSMUSG00000026311	Asb1	protein_coding
ENSMUSG00000007805	Twist2	protein_coding
ENSMUSG00000026313	Hdac4	protein_coding
ENSMUSG00000026260	Ndufa10	protein_coding
ENSMUSG00000067064	Olfr1416	protein_coding
ENSMUSG00000057464	Olfr1415	protein_coding
ENSMUSG00000042849	Olfr1414	protein_coding
ENSMUSG00000058904	Olfr1413	protein_coding
ENSMUSG00000046300	Olfr1412	protein_coding
ENSMUSG00000062497	Olfr1411	protein_coding
ENSMUSG00000063583	Olfr1410	protein_coding
ENSMUSG00000061616	Olfr12	protein_coding
ENSMUSG00000044055	Otos	protein_coding
ENSMUSG00000034220	Gpc1	protein_coding
ENSMUSG00000034212	Ankmy1	protein_coding
ENSMUSG00000047067	Dusp28	protein_coding
ENSMUSG00000026269	Rnpepl1	protein_coding
ENSMUSG00000026270	Capn10	protein_coding
ENSMUSG00000026271	Gpr35	protein_coding
ENSMUSG00000045091	Aqp12	protein_coding
ENSMUSG00000014602	Kif1a	protein_coding
ENSMUSG00000026272	Agxt	protein_coding
ENSMUSG00000084989	Crocc2	protein_coding
ENSMUSG00000047793	Sned1	protein_coding
ENSMUSG00000026273	Mterf4	protein_coding
ENSMUSG00000026274	Pask	protein_coding
ENSMUSG00000026275	Ppp1r7	protein_coding
ENSMUSG00000034107	Ano7	protein_coding
ENSMUSG00000034088	Hdlbp	protein_coding
ENSMUSG00000026276	Sept2	protein_coding
ENSMUSG00000034066	Farp2	protein_coding
ENSMUSG00000026277	Stk25	protein_coding
ENSMUSG00000026278	Bok	protein_coding
ENSMUSG00000026279	Thap4	protein_coding
ENSMUSG00000026280	Atg4b	protein_coding
ENSMUSG00000026281	Dtymk	protein_coding
ENSMUSG00000026283	Ing5	protein_coding
ENSMUSG00000073609	D2hgdh	protein_coding
ENSMUSG00000094651	Gal3st2	protein_coding
ENSMUSG00000034000	Neu4	protein_coding
ENSMUSG00000026285	Pdcd1	protein_coding
ENSMUSG00000051185	Fam174a	protein_coding
ENSMUSG00000040710	St8sia4	protein_coding
ENSMUSG00000040693	Slco4c1	protein_coding
ENSMUSG00000026331	Slco6c1	protein_coding
ENSMUSG00000044768	D1Ertd622e	protein_coding
ENSMUSG00000040648	Ppip5k2	protein_coding
ENSMUSG00000026333	Gin1	protein_coding
ENSMUSG00000026335	Pam	protein_coding
ENSMUSG00000026336	Slco6d1	protein_coding
ENSMUSG00000067028	Cntnap5b	protein_coding
ENSMUSG00000050840	Cdh20	protein_coding
ENSMUSG00000047496	Rnf152	protein_coding
ENSMUSG00000056536	Pign	protein_coding
ENSMUSG00000026321	Tnfrsf11a	protein_coding
ENSMUSG00000038866	Zcchc2	protein_coding
ENSMUSG00000044340	Phlpp1	protein_coding
ENSMUSG00000057329	Bcl2	protein_coding
ENSMUSG00000009905	Kdsr	protein_coding
ENSMUSG00000009907	Vps4b	protein_coding
ENSMUSG00000067006	Serpinb5	protein_coding
ENSMUSG00000059956	Serpinb12	protein_coding
ENSMUSG00000048775	Serpinb13	protein_coding
ENSMUSG00000044594	Serpinb3a	protein_coding
